NOC,Year,delegation_size,female_ratio,sport_count,total_medals,gold_medals,silver_medals,bronze_medals,sport_hhi,medal_rate,Season,is_host,wb_country,gdp,population,gdp_per_capita,log_gdp,log_population,log_gdp_per_capita,log_delegation_size,log_total_medals
AUT,1984,65,0.12380952380952381,9,1,0,0,1,1.0,0.015384615384615385,Winter,0,Austria,67719055773.3306,7561434.0,8955.848291915343,24.938633451015065,15.83857141270794,9.100062038307124,4.174387269895637,0.6931471805599453
AUT,1988,81,0.23529411764705882,10,10,3,5,2,0.44000000000000006,0.12345679012345678,Winter,0,Austria,132817124707.456,7585317.0,17509.765868381768,25.612239016785626,15.84172496290399,9.770514053881636,4.394449154672439,2.3978952727983707
AUT,1992,58,0.2066115702479339,9,21,6,7,8,0.2517006802721088,0.3620689655172414,Winter,0,Austria,194314032056.098,7840709.0,24782.7118767063,25.992741409230142,15.874839821911182,10.11790158731896,4.060443010546419,3.091042453358316
AUT,1994,80,0.2153846153846154,10,9,2,3,4,0.25925925925925924,0.1125,Winter,0,Austria,202738023129.743,7936118.0,25546.24605250867,26.035180456087332,15.886934796787918,10.148245659299414,4.382026634673881,2.302585092994046
AUT,1998,96,0.2532467532467532,12,17,3,5,9,0.4532871972318339,0.17708333333333334,Winter,0,Austria,217068085815.918,7976789.0,27212.464290570806,26.103476900795005,15.892046507496673,10.211430393298334,4.564348191467836,2.8903717578961645
AUT,2002,90,0.21621621621621623,12,17,3,4,10,0.3356401384083045,0.18888888888888888,Winter,0,Austria,212837224022.813,8081957.0,26334.862215031953,26.083793504035555,15.90514460414117,10.178648899894384,4.499809670330265,2.8903717578961645
AUT,2006,73,0.25,12,23,9,7,7,0.4102079395085067,0.3150684931506849,Winter,0,Austria,333905979332.481,8268641.0,40382.207829857536,26.53412529129028,15.927980724596765,10.606144566693517,4.290459441148391,3.1780538303479458
AUT,2010,75,0.3106060606060606,13,16,4,6,6,0.1640625,0.21333333333333335,Winter,0,Austria,389827789217.634,8363404.0,46611.139342023176,26.68897091244245,15.939376079220304,10.749594833222146,4.31748811353631,2.833213344056216
AUT,2014,126,0.3474178403755869,14,17,4,8,5,0.328719723183391,0.1349206349206349,Winter,0,Austria,438556021078.034,8546356.0,51314.97226163221,26.806753396762797,15.961015551233999,10.8457378455288,4.836281906951478,2.8903717578961645
AZE,1998,4,0.5,1,0,0,0,0,0.0,0.0,Winter,0,Azerbaijan,4446368570.6901,7913000.0,561.9068078718691,22.215353548442938,15.884017534591331,6.331336013851607,1.3862943611198906,0.0
AZE,2002,4,0.25,2,0,0,0,0,0.0,0.0,Winter,0,Azerbaijan,6236087738.28284,8171950.0,763.1088954634866,22.553618857684217,15.916218116447677,6.637400741236538,1.3862943611198906,0.0
AZE,2006,2,0.5,1,0,0,0,0,0.0,0.0,Winter,0,Azerbaijan,20981929497.6188,8484550.0,2472.957257322875,23.766927404113694,15.953757420476835,7.813169983636861,0.6931471805599453,0.0
AZE,2010,2,0.5,1,0,0,0,0,0.0,0.0,Winter,0,Azerbaijan,52909294791.9262,9054332.0,5843.533768358196,24.691844865327703,16.01875387518139,8.673090990146314,0.6931471805599453,0.0
AZE,2014,3,0.25,2,0,0,0,0,0.0,0.0,Winter,0,Azerbaijan,75239785452.1022,9535079.0,7890.840280620874,25.04394598986138,16.07048808224715,8.973457907614234,1.0986122886681098,0.0
BEL,1964,8,0.2727272727272727,3,0,0,0,0,0.0,0.0,Winter,0,Belgium,16168044450.2523,9378113.0,1724.0189417905606,23.50630256631735,16.053889128036573,7.452413438280775,2.0794415416798357,0.0
BEL,1972,1,0.0,1,0,0,0,0,0.0,0.0,Winter,0,Belgium,37209418018.5134,9711115.0,3831.631899994326,24.339827738723436,16.08878166374713,8.251046074976305,0.0,0.0
BEL,1976,4,0.2727272727272727,2,0,0,0,0,0.0,0.0,Winter,0,Belgium,71113882967.6071,9818227.0,7243.047341195829,24.987548414436212,16.099751114131386,8.887797300304827,1.3862943611198906,0.0
BEL,1980,2,0.0,1,0,0,0,0,0.0,0.0,Winter,0,Belgium,126829314388.191,9859242.0,12864.002566139567,25.566108038256907,16.10391984735594,9.46218819090097,0.6931471805599453,0.0
BEL,1984,4,0.3333333333333333,2,0,0,0,0,0.0,0.0,Winter,0,Belgium,83349530159.1734,9855372.0,8457.268803163737,25.1463088091648,16.10352724519292,9.042781563971877,1.3862943611198906,0.0
BEL,1988,1,1.0,1,0,0,0,0,0.0,0.0,Winter,0,Belgium,162299103675.261,9901664.0,16391.093827791065,25.81270678881006,16.108213381788904,9.70449340702116,0.0,0.0
BEL,1992,5,0.14285714285714285,1,0,0,0,0,0.0,0.0,Winter,0,Belgium,234781652446.675,10045158.0,23372.61917101503,26.181921780649024,16.122601285325985,10.059320495323037,1.6094379124341003,0.0
BEL,1994,5,0.75,2,0,0,0,0,0.0,0.0,Winter,0,Belgium,244884129491.198,10115603.0,24208.55479314461,26.224050994767087,16.12958964124112,10.094461353525965,1.6094379124341003,0.0
BEL,1998,1,0.0,1,1,0,0,1,1.0,1.0,Winter,0,Belgium,258528339631.029,10203008.0,25338.44329349041,26.27827115595366,16.13819313674025,10.140078019213412,0.0,0.6931471805599453
BEL,2002,6,0.0,3,0,0,0,0,0.0,0.0,Winter,0,Belgium,258383599375.177,10332785.0,25006.191397109007,26.277711136930254,16.15083240785721,10.126878729073042,1.791759469228055,0.0
BEL,2006,4,0.0,3,0,0,0,0,0.0,0.0,Winter,0,Belgium,408259840868.823,10547958.0,38705.10679591472,26.735169673512768,16.17144284464989,10.563726828862878,1.3862943611198906,0.0
BEL,2010,8,0.4,4,0,0,0,0,0.0,0.0,Winter,0,Belgium,481556503720.001,10895586.0,44197.39367116197,26.900289410666257,16.203868311054865,10.696421099611392,2.0794415416798357,0.0
BEL,2014,7,0.45454545454545453,5,0,0,0,0,0.0,0.0,Winter,0,Belgium,537987419164.351,11209057.0,47995.77869613394,27.011101012381896,16.232232670189696,10.7788683421922,1.9459101490553132,0.0
BER,1992,1,0.0,1,0,0,0,0,0.0,0.0,Winter,0,,,,,,,,0.0,0.0
BER,1994,1,0.0,1,0,0,0,0,0.0,0.0,Winter,0,,,,,,,,0.0,0.0
BER,1998,1,0.0,1,0,0,0,0,0.0,0.0,Winter,0,,,,,,,,0.0,0.0
BER,2002,1,0.0,1,0,0,0,0,0.0,0.0,Winter,0,,,,,,,,0.0,0.0
BER,2006,1,0.0,1,0,0,0,0,0.0,0.0,Winter,0,,,,,,,,0.0,0.0
BER,2010,1,0.0,1,0,0,0,0,0.0,0.0,Winter,0,,,,,,,,0.0,0.0
BER,2014,1,0.0,1,0,0,0,0,0.0,0.0,Winter,0,,,,,,,,0.0,0.0
BIH,1994,10,0.16666666666666666,4,0,0,0,0,0.0,0.0,Winter,0,Bosnia and Herzegovina,1255802469.1358,3725412.0,337.0908960232586,20.95104062282789,15.130688007706468,5.820352615121421,2.302585092994046,0.0
BIH,1998,8,0.16666666666666666,3,0,0,0,0,0.0,0.0,Winter,0,Bosnia and Herzegovina,4116774300.60671,4089356.0,1006.7047966982356,22.138335756906855,15.223898058408583,6.914437698498274,2.0794415416798357,0.0
BIH,2002,2,0.0,1,0,0,0,0,0.0,0.0,Winter,0,Bosnia and Herzegovina,6728220982.88398,4188002.0,1606.5467454132017,22.629576604333906,15.24773432852737,7.381842275806535,0.6931471805599453,0.0
BIH,2006,6,0.4444444444444444,3,0,0,0,0,0.0,0.0,Winter,0,Bosnia and Herzegovina,12864841905.9543,4063272.0,3166.1286534483293,23.277763993910813,15.217499118335802,8.060264875575013,1.791759469228055,0.0
BIH,2010,5,0.7,3,0,0,0,0,0.0,0.0,Winter,0,Bosnia and Herzegovina,17176315803.7298,3811472.0,4506.478285483876,23.566797283691184,15.153526024194317,8.413271259496867,1.6094379124341003,0.0
BIH,2014,5,0.35714285714285715,3,0,0,0,0,0.0,0.0,Winter,0,Bosnia and Herzegovina,18558734107.1478,3564829.0,5206.065734751316,23.644206356544522,15.0866266443407,8.557579712203822,1.6094379124341003,0.0
